pressure,rh,temp,time
1027.2,0.97,11.0,1:30
1026.9,0.99,11.0,2:00
1027.7,0.98,11.2,2:40
1027.5,0.98,11.2,3:10
1027.6,0.99,11.0,3:40
1026.7,0.98,10.6,4:00
1027.9,0.98,10.4,4:40
1027.9,0.99,10.0,5:10
1027.2,0.99,10.0,5:30
1028.3,0.99,8.4,6:10
