pressure,rh,temp,time
1027.7,0.98,8.0,7:00
1028.6,0.97,7.7,7:10
1028.0,0.98,8.1,7:30
1029.2,0.99,8.5,7:50
1029.2,0.99,9.2,8:20
1028.4,0.99,10.0,8:30
1028.4,0.97,10.2,9:00
1029.4,0.95,10.7,9:10
1026.6,0.92,10.3,9:40
1025.7,0.69,10.8,10:00
1026.6,0.89,11.2,10:30
1026.6,0.85,12.0,11:20
1026.6,0.66,11.8,11:40
1025.9,0.8,13.3,12:10
1026.7,0.63,13.0,12:20
1026.07,0.74,14.63,13:00
1027.1,0.71,15.0,13:40
1027.1,0.76,16.7,7:12
1026.1,0.75,15.0,13:50
